source,target,weight
ADAL,ADAL,6
ADAL,ADLL,2
ADAL,AIAL,2
ADAL,AIBL,2
ADAL,AIBR,2
ADAL,AVAL,3
ADAL,AVAR,7
ADAL,AVBL,5
ADAL,AVBR,21
ADAL,AVDL,1
ADAL,AVDR,2
ADAL,AVEL,3
ADAL,AVJR,11
ADAL,PVPL,1
ADAL,RICL,3
ADAL,RICR,1
ADAL,RIML,9
ADAL,RIPL,4
ADAL,SMDVR,3
ADAL,URAVL,1
ADAL,URXL,2
ADAR,AIBL,1
ADAR,AIBR,3
ADAR,ASHR,2
ADAR,AVAR,8
ADAR,AVBL,8
ADAR,AVBR,15
ADAR,AVDL,2
ADAR,AVDR,3
ADAR,AVEL,1
ADAR,AVJL,13
ADAR,PVR,6
ADAR,RIFR,1
ADAR,RIMR,15
ADAR,RIPR,9
ADAR,RIVR,5
ADAR,SMDVL,1
ADAR,URXR,2
ADAR,URYDR,2
ADEL,ADAL,1
ADEL,ADEL,2
ADEL,ADER,5
ADEL,ALML,1
ADEL,AVAL,7
ADEL,AVAR,9
ADEL,AVDL,2
ADEL,AVEL,3
ADEL,AVHL,2
ADEL,AVL,1
ADEL,BDUL,1
ADEL,CEPDL,1
ADEL,CEPVL,1
ADEL,FLPL,4
ADEL,IL1L,3
ADEL,IL2L,5
ADEL,OLLL,6
ADEL,RIAL,2
ADEL,RIFL,1
ADEL,RIGL,18
ADEL,RIGR,15
ADEL,RIH,3
ADEL,RIVL,2
ADEL,RIVR,2
ADEL,RMDL,11
ADEL,RMER,1
ADEL,RMGL,7
ADEL,RMHL,1
ADEL,RMHR,2
ADEL,SAADR,1
ADEL,SIADR,2
ADEL,SIBDR,2
ADEL,SMBDR,1
ADEL,SMBVL,2
ADEL,URBL,2
ADEL,VB01,2
ADER,ADAR,1
ADER,ADEL,3
ADER,ALNR,1
ADER,ASIR,1
ADER,AVAL,9
ADER,AVAR,4
ADER,AVDR,5
ADER,AVER,4
ADER,AVJR,1
ADER,CEPDR,5
ADER,CEPVR,1
ADER,FLPL,1
ADER,FLPR,4
ADER,IL1R,1
ADER,IL2R,1
ADER,OLLR,3
ADER,RIAR,1
ADER,RIGL,12
ADER,RIGR,11
ADER,RMDL,1
ADER,RMDR,6
ADER,RMGR,5
ADER,SMDVR,1
ADER,URBR,1
ADER,URXR,2
ADFL,ADAL,2
ADFL,ADLL,1
ADFL,AFDL,1
ADFL,AIAL,2
ADFL,AIBL,2
ADFL,AIBR,1
ADFL,AIZL,39
ADFL,AUAL,12
ADFL,AWBL,2
ADFL,AWCR,2
ADFL,RIAL,46
ADFL,RIBL,4
ADFL,RIGL,4
ADFL,RIGR,1
ADFL,RIR,4
ADFL,RIVL,1
ADFL,SMBDL,1
ADFL,SMBVL,9
ADFL,SMDVL,1
ADFL,URXL,1
ADFR,ADAR,4
ADFR,ADFR,1
ADFR,AFDR,1
ADFR,AIYR,2
ADFR,AIZR,37
ADFR,ASHR,6
ADFR,AUAR,9
ADFR,AVHL,1
ADFR,AWAR,1
ADFR,AWBR,4
ADFR,AWCR,1
ADFR,BAGL,6
ADFR,OLQVR,1
ADFR,PVPR,1
ADFR,RIAR,61
ADFR,RIGR,24
ADFR,RIH,2
ADFR,RIR,7
ADFR,SMBDR,2
ADFR,SMBVR,19
ADFR,URXR,10
ADFR,URYVR,2
ADLL,ADAL,1
ADLL,AIAL,19
ADLL,AIBL,26
ADLL,ALA,5
ADLL,ASEL,1
ADLL,ASER,12
ADLL,ASGL,2
ADLL,ASHL,6
ADLL,AVAL,9
ADLL,AVAR,5
ADLL,AVBL,12
ADLL,AVDL,4
ADLL,AVDR,15
ADLL,AVJL,3
ADLL,AVJR,9
ADLL,AWAL,1
ADLL,AWBL,3
ADLL,AWCL,2
ADLL,OLQVL,2
ADLL,RIAL,1
ADLL,RIGL,1
ADLL,RIPL,3
ADLL,RIR,1
ADLL,SMBVL,5
ADLR,ADAR,1
ADLR,ADLR,3
ADLR,AIAR,22
ADLR,AIBR,27
ADLR,ASER,2
ADLR,ASHR,4
ADLR,AVAR,8
ADLR,AVBL,3
ADLR,AVBR,7
ADLR,AVDL,26
ADLR,AVDR,3
ADLR,AVJL,2
ADLR,AVJR,3
ADLR,AWCR,7
ADLR,CEPVR,1
ADLR,OLLR,1
ADLR,OLQVR,1
ADLR,PVCL,3
ADLR,RICL,1
ADLR,RICR,5
ADLR,RIFR,2
ADLR,RIPR,2
ADLR,SIBVL,2
ADLR,SMBVR,5
ADLR,URBR,6
ADLR,URXR,8
AFDL,AFDL,1
AFDL,AIBL,1
AFDL,AINR,3
AFDL,AIYL,25
AFDL,ASEL,1
AFDL,ASER,1
AFDL,AWBL,4
AFDR,AFDL,1
AFDR,AIYR,29
AFDR,ASEL,1
AFDR,ASER,4
AIAL,ADAL,1
AIAL,ADFL,2
AIAL,ADLL,1
AIAL,AIBL,35
AIAL,AIML,6
AIAL,AIZL,4
AIAL,ASEL,5
AIAL,ASER,10
AIAL,ASGL,1
AIAL,ASHL,1
AIAL,ASJL,4
AIAL,ASKL,9
AIAL,AWCL,1
AIAL,AWCR,6
AIAL,PVQL,1
AIAL,RIFL,10
AIAL,RIR,2
AIAL,RMGL,2
AIAR,ADAR,4
AIAR,ADLR,10
AIAR,AIAR,1
AIAR,AIBR,33
AIAR,AIZR,2
AIAR,ASER,5
AIAR,ASGR,5
AIAR,ASIR,2
AIAR,ASKR,1
AIAR,AWAR,4
AIAR,AWCL,6
AIAR,AWCR,6
AIAR,RIFR,10
AIBL,AIBL,2
AIBL,AIZR,7
AIBL,ASHL,1
AIBL,ASHR,3
AIBL,AVAL,5
AIBL,AVBL,21
AIBL,AVEL,1
AIBL,FLPL,1
AIBL,RIBR,16
AIBL,RIFL,1
AIBL,RIGR,5
AIBL,RIML,1
AIBL,RIMR,56
AIBL,RMFR,6
AIBL,SAADL,6
AIBL,SAADR,10
AIBL,SAAVL,3
AIBL,SAAVR,1
AIBL,SIADR,2
AIBL,SIAVR,2
AIBL,SIBVR,2
AIBL,SMDDR,16
AIBL,SMDVR,4
AIBR,ADLR,1
AIBR,AIAR,1
AIBR,AIYR,1
AIBR,AQR,1
AIBR,AUAL,1
AIBR,AVAR,2
AIBR,AVBR,13
AIBR,AVEL,4
AIBR,AWCR,1
AIBR,DVA,1
AIBR,RIAL,2
AIBR,RIBL,11
AIBR,RICR,1
AIBR,RIGL,1
AIBR,RIML,47
AIBR,RIMR,5
AIBR,RMFL,1
AIBR,SAADL,2
AIBR,SAADR,2
AIBR,SAAVR,1
AIBR,SIADL,1
AIBR,SIBDL,1
AIBR,SIBDR,1
AIBR,SMDDL,17
AIBR,SMDVL,7
AIBR,VB01,3
AIML,AIAL,11
AIML,ALML,1
AIML,ASGL,8
AIML,ASJL,2
AIML,ASKL,7
AIML,AVDL,1
AIML,AVFL,5
AIML,AVFR,4
AIML,AVHL,2
AIML,AVHR,1
AIML,AVJL,1
AIML,CEPDL,3
AIML,PVQL,1
AIML,RID,2
AIML,RIFL,2
AIML,RMGL,3
AIML,SMBVL,4
AIML,URXL,1
AIMR,ADFR,2
AIMR,AIAR,10
AIMR,AIMR,1
AIMR,ALA,2
AIMR,ASGR,6
AIMR,ASJR,4
AIMR,ASKR,4
AIMR,AVAR,1
AIMR,AVDR,2
AIMR,AVFL,3
AIMR,AVFR,4
AIMR,AVHR,2
AIMR,AVJR,1
AIMR,BDUR,2
AIMR,CEPVR,1
AIMR,HSNL,3
AIMR,HSNR,3
AIMR,OLQDR,1
AIMR,PVNR,1
AIMR,RIFR,3
AIMR,RMDR,1
AIMR,RMGR,4
AIMR,URXR,5
AINL,AFDR,10
AINL,AIAR,1
AINL,ASEL,1
AINL,ASGR,1
AINL,ASIL,11
AINL,AUAR,2
AINL,BAGL,5
AINL,RIBL,2
AINL,RIBR,3
AINL,RID,2
AINL,RMDVL,3
AINL,RMFL,1
AINL,SAAVL,3
AINR,AFDL,9
AINR,AFDR,3
AINR,AIAL,2
AINR,AIBL,2
AINR,AINL,1
AINR,AINR,1
AINR,ASEL,1
AINR,ASER,3
AINR,ASGL,1
AINR,AUAL,1
AINR,AUAR,2
AINR,AWCL,2
AINR,BAGR,9
AINR,CEPDL,2
AINR,RIBL,8
AINR,RID,2
AINR,URXL,2
AINR,URXR,2
AIYL,AFDL,2
AIYL,AIBL,3
AIYL,AIZL,67
AIYL,ASER,1
AIYL,AWAL,14
AIYL,AWCL,5
AIYL,AWCR,3
AIYL,HSNR,1
AIYL,RIAL,51
AIYL,RIBL,42
AIYL,RIH,1
AIYL,RIR,1
AIYR,ADFR,1
AIYR,AFDR,1
AIYR,AINL,1
AIYR,AIYL,7
AIYR,AIZR,70
AIYR,ASEL,2
AIYR,ASER,4
AIYR,ASGR,2
AIYR,AWAR,1
AIYR,AWBR,1
AIYR,BAGR,1
AIYR,RIAR,50
AIYR,RIBR,60
AIYR,RIVR,1
AIZL,ADFL,1
AIZL,AFDL,1
AIZL,AIAL,12
AIZL,AIBL,10
AIZL,AIBR,53
AIZL,ASEL,4
AIZL,AVEL,3
AIZL,AVER,26
AIZL,AVKR,4
AIZL,AWCR,2
AIZL,DVA,1
AIZL,RIAL,29
AIZL,RICR,11
AIZL,RIGL,4
AIZL,RIML,35
AIZL,SMBDL,24
AIZL,SMBVL,21
AIZL,SMDVL,3
AIZL,URYDL,3
AIZL,VB02,1
AIZR,ADFR,1
AIZR,AIAR,5
AIZR,AIBL,50
AIZR,AIBR,3
AIZR,ASER,2
AIZR,AVEL,28
AIZR,AVER,1
AIZR,AWAR,1
AIZR,AWCR,2
AIZR,DVA,3
AIZR,RIAR,25
AIZR,RIMR,34
AIZR,SIADR,1
AIZR,SMBDR,17
AIZR,SMBVR,10
AIZR,SMDDR,4
ALA,ASJR,4
ALA,AVDR,1
ALA,AVEL,8
ALA,AVER,4
ALA,CANL,30
ALA,CANR,30
ALA,PVDL,75
ALA,PVDR,75
ALA,RIAR,2
ALA,RMDR,3
ALML,AIML,1
ALML,ALML,1
ALML,AVDR,3
ALML,AVEL,3
ALML,BDUL,15
ALML,CEPDL,2
ALML,CEPVL,3
ALML,PVCL,11
ALML,PVCR,4
ALML,RICL,2
ALML,RICR,3
ALML,RIFL,2
ALML,RMDDR,1
ALML,RMGL,3
ALML,SDQL,2
ALML,SMBDR,2
ALMR,BDUR,14
ALMR,CEPDR,1
ALMR,CEPVR,3
ALMR,PVCR,10
ALMR,RMDDL,1
ALMR,SIADL,1
ALMR,SMDDL,1
ALMR,URBR,1
ALNL,RIAL,1
ALNL,RMDDR,1
ALNL,RMGL,1
ALNL,RMHL,1
ALNL,SAAVL,8
ALNL,SIADR,1
ALNL,SMBDR,7
ALNL,SMDVL,1
ALNR,ADER,1
ALNR,AVAL,6
ALNR,RIML,5
ALNR,SAAVR,6
ALNR,SMBDL,4
ALNR,SMDDR,1
ALNR,SMDVL,2
AQR,AVAL,4
AQR,AVAR,6
AQR,AVBL,7
AQR,AVBR,12
AQR,AVDL,3
AQR,AVDR,2
AQR,AVJL,3
AQR,BAGL,8
AQR,BAGR,5
AQR,DVA,6
AQR,PVCL,1
AQR,PVCR,4
AQR,PVPL,3
AQR,PVPR,1
AQR,RIAL,8
AQR,RIAR,4
AQR,RIGL,1
AQR,RIR,1
AQR,URXL,5
AS01,AS01,3
AS01,DA01,8
AS01,DB01,3
AS01,DD01,2
AS01,VD01,20
AS02,DB01,1
AS02,DD01,3
AS02,RID,2
AS02,VD02,21
AS03,DA03,1
AS03,DD01,2
AS03,VD03,23
AS04,DA03,2
AS04,DB02,2
AS04,DD01,2
AS04,DD02,4
AS04,VD04,21
AS05,AS05,3
AS05,DA04,1
AS05,DD03,1
AS05,PVDL,1
AS05,VD05,12
AS06,DA05,1
AS06,DB04,1
AS06,DD03,4
AS06,VD06,20
AS07,VD07,20
AS08,VD08,20
AS09,VD09,20
AS10,VD10,10
AS10,VD11,10
AS11,DB07,1
AS11,DD06,2
AS11,VD12,20
AS11,VD13,3
ASEL,ADFR,1
ASEL,AFDR,3
ASEL,AIAL,6
ASEL,AIBL,16
ASEL,AIBR,13
ASEL,AIYL,32
ASEL,AIYR,21
ASEL,AIZL,1
ASEL,ASER,2
ASEL,ASJL,1
ASEL,AWBL,1
ASEL,AWCL,16
ASEL,AWCR,11
ASEL,IL2R,1
ASEL,OLLR,1
ASEL,RIAR,2
ASEL,RIR,1
ASER,ADLL,4
ASER,ADLR,1
ASER,AFDL,2
ASER,AFDR,3
ASER,AIAL,8
ASER,AIAR,4
ASER,AIBL,4
ASER,AIBR,32
ASER,AIYL,9
ASER,AIYR,38
ASER,AIZL,1
ASER,ASEL,3
ASER,ASHR,2
ASER,ASKL,1
ASER,AWAR,1
ASER,AWCL,1
ASER,AWCR,1
ASGL,AIAL,46
ASGL,AIBL,17
ASGL,AINR,2
ASGL,ASKL,2
ASGR,AIAR,51
ASGR,AIBR,20
ASGR,AIYR,1
ASGR,ASER,3
ASHL,ADAL,2
ASHL,ADFL,6
ASHL,ADLL,6
ASHL,AIAL,24
ASHL,AIBL,13
ASHL,AIZL,3
ASHL,ASKL,1
ASHL,AVAL,15
ASHL,AVAR,1
ASHL,AVBL,14
ASHL,AVDL,7
ASHL,AVDR,20
ASHL,AVFL,2
ASHL,AVHR,2
ASHL,HSNL,2
ASHL,RIAL,9
ASHL,RIML,4
ASHL,RIPL,4
ASHL,RIR,4
ASHL,URXL,2
ASHR,ADAR,5
ASHR,ADFR,3
ASHR,ADLR,13
ASHR,AIAR,28
ASHR,AIBR,7
ASHR,ASHR,2
ASHR,AVAR,10
ASHR,AVBR,6
ASHR,AVDL,27
ASHR,AVDR,2
ASHR,AVER,7
ASHR,AVHL,1
ASHR,AWAR,1
ASHR,AWBL,1
ASHR,HSNL,4
ASHR,HSNR,5
ASHR,PVCL,3
ASHR,PVPR,1
ASHR,RIAR,3
ASHR,RMGR,6
ASHR,SMBVR,7
ASIL,ADFL,1
ASIL,AIAL,2
ASIL,AIBL,3
ASIL,AIYL,3
ASIL,AIYR,2
ASIL,AIZL,1
ASIL,ASER,8
ASIL,ASGL,3
ASIL,ASKL,3
ASIL,AWAR,2
ASIL,AWCL,3
ASIL,AWCR,4
ASIL,CEPVR,1
ASIL,RIAL,3
ASIL,RIBL,1
ASIL,RMFL,1
ASIL,SAAVL,2
ASIR,ADLR,1
