a,b,weight
ADAL,ADAR,3
ADAL,ADFL,5
ADAL,ASHL,2
ADAL,AVDR,2
ADAL,OLQVL,4
ADAL,PVQL,4
ADAR,ADFR,4
ADAR,ASHR,3
ADAR,AVDL,3
ADAR,PVQR,2
ADEL,AINL,2
ADEL,IL2L,2
ADEL,RIGR,1
ADEL,RMDDR,1
ADEL,RMER,1
ADEL,SIBDL,1
ADEL,SIBVL,1
ADER,AINR,4
ADER,ALNR,2
ADER,AVJR,1
ADER,AVKL,4
ADER,FLPR,4
ADER,PVM,1
ADER,PVQR,2
ADFL,AFDL,3
ADFL,AIZL,1
ADFL,ASHL,1
ADFL,AWCL,1
ADFL,RIAL,1
ADFL,RIPL,2
ADFL,URBL,1
ADFR,AFDR,5
ADFR,AIAR,4
ADFR,ASGR,1
ADFR,AWAR,3
ADFR,AWBR,1
ADFR,RIH,1
ADFR,SMBVR,1
ADFR,SMDVR,2
ADLL,ADLR,6
ADLL,AVDR,2
ADLL,AWAL,1
ADLL,RMGL,3
ADLR,ASGR,1
ADLR,ASKR,1
AFDL,AFDR,1
AFDL,AIBL,2
AFDL,AIYL,2
AFDL,ASEL,6
AFDL,AVEL,1
AFDL,URBL,9
AFDR,AIBR,2
AFDR,ASEL,2
AFDR,ASER,1
AFDR,ASHR,4
AFDR,AWCR,3
AFDR,RMDVR,1
AFDR,URBR,2
AIAL,AIAR,7
AIAL,AIBL,5
AIAL,ASIL,1
AIAL,ASIR,2
AIAL,ASJL,1
AIAL,ASKL,2
AIAL,AWAL,1
AIAL,AWBL,1
AIAL,AWCR,1
AIAR,AIAR,2
AIAR,ASGR,3
AIAR,ASHR,1
AIAR,ASIR,3
AIAR,ASKR,1
AIAR,AWAR,3
AIAR,AWCR,1
AIBL,AIZR,4
AIBL,ASKL,1
AIBL,DVC,2
AIBL,FLPL,1
AIBL,RIGR,3
AIBL,RIMR,1
AIBL,RIS,1
AIBL,RIVL,1
AIBL,RMED,2
AIBL,SDQR,1
AIBL,SIADR,1
AIBL,SMDDR,1
AIBR,AIZL,3
AIBR,ASKR,3
AIBR,DVC,9
AIBR,PVPL,2
AIBR,PVT,1
AIBR,RICR,1
AIBR,RIGL,3
AIBR,RIML,2
AIBR,RIS,3
AIBR,RIVR,3
AIBR,SIAVL,1
AIBR,SMDDL,2
AIML,ASGL,1
AIML,SIBDR,2
AIMR,ASJR,1
AIMR,AVKR,3
AIMR,CEPVR,1
AIMR,SMBVR,1
AINL,AINR,1
AINL,ASGR,1
AINL,AUAR,1
AINR,ASGL,1
AINR,ASIL,1
AINR,AUAL,3
AINR,BAGL,3
AINR,RIAL,2
AIYL,AIYR,4
AIYL,AVKL,1
AIYL,RIML,5
AIYR,ASIR,1
AIYR,AUAR,1
AIYR,RIMR,3
AIZL,AIZR,18
AIZL,ASGL,3
AIZL,ASHL,2
AIZL,AWAL,3
AIZL,RIGL,1
AIZL,RIH,1
AIZR,ASGR,1
AIZR,ASHR,6
AIZR,AWAR,3
ALA,ASJL,2
ALA,ASKR,1
ALA,AVER,3
ALA,CANL,401
ALA,CANR,401
ALA,HSNL,1
ALA,HSNR,1
ALA,PVDL,250
ALA,PVDR,250
ALA,RID,4
ALML,AVM,7
ALML,PVR,3
ALML,RMDDR,2
ALML,RMGL,3
ALML,SMBDR,1
ALMR,AVDR,2
ALMR,AVM,16
ALMR,PVR,3
ALMR,SDQR,2
ALNL,SMBDR,3
ALNL,SMDDR,2
ALNL,SMDVL,1
ALNR,PVR,16
ALNR,RMGR,1
ALNR,SMDDL,1
AQR,AVBL,3
AQR,AVKL,7
AQR,AVKR,2
AQR,PVPL,41
AQR,PVPR,61
AQR,RIGR,3
AS01,AVEL,2
AS01,AVER,1
AS01,FLPR,1
AS01,VA03,3
AS01,VA05,3
AS02,DA02,2
AS02,VA03,2
AS02,VA04,9
AS03,AVAR,1
AS03,DA02,1
AS03,PVDR,1
AS04,DA03,4
AS05,AVAR,3
AS05,AVBR,2
AS06,AVAR,2
AS06,AVBL,1
AS06,AVBR,1
AS06,DA05,5
AS10,AVAL,5
AS10,AVAR,2
AS10,AVHL,1
AS10,AVKL,1
AS10,DA07,1
AS10,DB07,1
AS10,VA12,3
AS11,AVFL,2
AS11,AVG,1
AS11,AVHL,3
AS11,AVHR,17
AS11,AVKL,1
AS11,DA08,1
AS11,DVA,1
AS11,DVB,4
AS11,PDB,4
AS11,PVPL,6
AS11,RID,1
AS11,VB11,1
ASEL,ASGL,3
ASEL,AWCL,1
ASEL,AWCR,2
ASER,ASGR,3
ASER,AWBR,1
ASER,PVQR,1
ASGL,AWBL,1
ASGL,SMDDR,2
ASGR,ASIR,4
ASGR,AWCR,2
ASHL,ASHR,7
ASHL,ASKL,18
ASHL,RICL,5
ASHL,RMGL,3
ASHR,ASKR,2
ASHR,AVAR,2
ASHR,AVER,1
ASHR,AVHL,2
ASHR,RICR,4
ASHR,RMGR,3
ASIL,ASIR,3
ASJL,ASJR,7
ASJL,IL2L,1
ASJL,PVQL,1
ASJL,SMDDR,1
ASJR,PVQR,5
ASKL,ASKR,9
ASKL,AVHL,8
ASKL,HSNL,1
ASKL,PVQL,8
ASKR,ASKR,2
ASKR,AVHR,10
ASKR,HSNL,3
ASKR,HSNR,3
ASKR,PVQR,25
ASKR,RMGR,1
AUAL,AUAR,2
AUAL,AWBL,4
AUAL,AWCL,1
AUAL,RMDVL,2
AUAR,AWBR,3
AUAR,URXR,3
AVAL,AVAR,18
AVAL,AVDL,7
AVAL,AVDR,9
AVAL,AVEL,2
AVAL,AVJL,7
AVAL,AVJR,4
AVAL,DA01,2
AVAL,DA02,7
AVAL,DA03,6
AVAL,DA04,2
AVAL,DA05,2
AVAL,DA06,4
AVAL,DA07,10
AVAL,DA08,8
AVAL,DA09,1
AVAL,LUAL,2
AVAL,LUAR,2
AVAL,PHCL,1
AVAL,PHCR,3
AVAL,PLML,2
AVAL,PLMR,1
AVAL,PVCL,5
AVAL,PVCR,15
AVAL,PVDR,6
AVAL,PVNL,1
AVAL,PVPL,1
AVAL,PVPR,2
AVAL,RIMR,11
AVAL,SABD,7
AVAL,SABVR,8
AVAL,URYDL,2
AVAL,URYVR,2
AVAL,VA01,5
AVAL,VA02,13
AVAL,VA03,6
AVAL,VA04,6
AVAL,VA06,13
AVAL,VA07,2
AVAL,VA08,2
AVAL,VA09,5
AVAL,VA10,6
AVAL,VA11,2
AVAL,VB11,2
AVAR,AVBL,3
AVAR,AVDL,2
AVAR,AVDR,15
AVAR,AVER,2
AVAR,AVJR,3
AVAR,DA01,9
AVAR,DA02,3
AVAR,DA03,7
AVAR,DA04,2
AVAR,DA05,5
AVAR,DA06,4
AVAR,DA08,5
AVAR,DA09,4
AVAR,LUAR,4
AVAR,PHBL,1
AVAR,PHCR,1
AVAR,PLML,3
AVAR,PQR,17
AVAR,PVCL,10
AVAR,PVCR,22
AVAR,PVDL,4
AVAR,PVT,2
AVAR,PVWR,2
AVAR,RIML,8
AVAR,RIMR,2
AVAR,RMDR,2
AVAR,RMDVR,1
AVAR,SAAVR,1
AVAR,SABVL,15
AVAR,SABVR,2
AVAR,SIBDL,1
AVAR,URYDR,5
AVAR,URYVL,1
AVAR,VA01,7
AVAR,VA03,3
AVAR,VA04,3
AVAR,VA05,5
AVAR,VA07,5
AVAR,VA08,2
AVAR,VA09,5
AVAR,VA10,4
AVAR,VA11,16
AVAR,VA12,3
AVAR,VD11,1
AVBL,AVBR,18
AVBL,DB03,9
AVBL,DB04,4
AVBL,DB05,3
AVBL,DB06,4
AVBL,DB07,13
AVBL,DVA,11
AVBL,PVNR,5
AVBL,RIBL,6
AVBL,RIBR,2
AVBL,RID,2
AVBL,SDQR,1
AVBL,SIBVL,2
AVBL,VB01,1
AVBL,VB02,14
AVBL,VB04,3
AVBL,VB05,3
AVBL,VB06,3
AVBL,VB07,4
AVBL,VB08,4
AVBL,VB09,4
AVBL,VB10,4
AVBL,VB11,5
AVBR,DB01,15
AVBR,DB02,3
AVBR,DB03,2
AVBR,DB04,5
AVBR,DB05,4
AVBR,DB06,4
AVBR,DB07,3
AVBR,DVA,3
AVBR,PVNL,7
AVBR,PVNR,2
AVBR,RIBL,3
AVBR,RIBR,3
AVBR,RID,7
AVBR,SIBVL,4
AVBR,SIBVR,1
AVBR,VB02,6
AVBR,VB03,7
AVBR,VB04,5
AVBR,VB05,3
AVBR,VB06,4
AVBR,VB07,3
AVBR,VB08,4
AVBR,VB09,4
AVBR,VB11,6
AVDL,AVDR,6
AVDL,AVHL,2
AVDL,AVJR,1
AVDL,AVM,8
AVDL,FLPL,5
AVDL,FLPR,9
AVDL,PLML,3
AVDL,PQR,2
AVDL,PVNR,1
AVDL,PVT,1
AVDL,RIFL,1
AVDL,VA10,1
AVDR,AVJL,6
AVDR,FLPR,2
AVDR,PLML,2
AVDR,PQR,3
AVDR,PVCR,2
AVDR,PVNL,1
AVDR,PVNR,1
AVDR,PVWR,1
AVDR,SIADL,1
AVDR,SIBDL,1
AVEL,AVER,5
AVEL,AVL,1
AVEL,BAGR,1
AVEL,PVPR,1
AVEL,RIML,10
AVEL,RIMR,7
AVEL,RIS,3
AVEL,RMDVR,2
AVEL,RMEV,1
AVEL,RMGL,2
AVEL,SMDVR,1
AVER,AVKR,1
AVER,DA01,1
AVER,RIFL,1
AVER,RIML,9
AVER,RIMR,11
AVER,RMDDL,2
AVER,RMDR,5
AVER,RMDVL,1
AVER,RMDVR,7
AVER,RMEV,1
AVER,SMDDR,1
AVFL,AVFR,31
AVFL,AVG,1
