name,type,category,notes
ADAL,interneuron,layer 3 interneuron,
ADAR,interneuron,layer 3 interneuron,
ADEL,sensory,SN3,mechanosensory
ADER,sensory,SN3,mechanosensory
ADFL,sensory,SN6,amphid
ADFR,sensory,SN6,amphid
ADLL,sensory,SN5,"amphid, nociceptive"
ADLR,sensory,SN5,"amphid, nociceptive"
AFDL,sensory,SN6,amphid
AFDR,sensory,SN6,amphid
AIAL,interneuron,layer 3 interneuron,
AIAR,interneuron,layer 3 interneuron,
AIBL,interneuron,layer 2 interneuron,
AIBR,interneuron,layer 2 interneuron,
AIML,interneuron,category 4 interneuron,
AIMR,interneuron,category 4 interneuron,
AINL,interneuron,category 4 interneuron,
AINR,interneuron,category 4 interneuron,
AIYL,interneuron,layer 3 interneuron,
AIYR,interneuron,layer 3 interneuron,
AIZL,interneuron,layer 3 interneuron,
AIZR,interneuron,layer 3 interneuron,
ALA,interneuron,layer 3 interneuron,
ALML,sensory,SN3,mechanosensory
ALMR,sensory,SN3,mechanosensory
ALNL,sensory,SN4,touch
ALNR,sensory,SN4,touch
AQR,sensory,SN4,touch
AS01,motorneuron,ventral cord motor neuron,
AS02,motorneuron,ventral cord motor neuron,
AS03,motorneuron,ventral cord motor neuron,
AS04,motorneuron,ventral cord motor neuron,
AS05,motorneuron,ventral cord motor neuron,
AS06,motorneuron,ventral cord motor neuron,
AS07,motorneuron,ventral cord motor neuron,
AS08,motorneuron,ventral cord motor neuron,
AS09,motorneuron,ventral cord motor neuron,
AS10,motorneuron,ventral cord motor neuron,
AS11,motorneuron,ventral cord motor neuron,
ASEL,sensory,SN6,amphid
ASER,sensory,SN6,amphid
ASGL,sensory,SN6,amphid
ASGR,sensory,SN6,amphid
ASHL,sensory,SN5,"amphid, nociceptive"
ASHR,sensory,SN5,"amphid, nociceptive"
ASIL,sensory,SN6,amphid
ASIR,sensory,SN6,amphid
ASJL,sensory,SN6,amphid
ASJR,sensory,SN6,amphid
ASKL,sensory,SN6,amphid
ASKR,sensory,SN6,amphid
AUAL,interneuron,layer 3 interneuron,
AUAR,interneuron,layer 3 interneuron,
AVAL,interneuron,layer 1 interneuron,
AVAR,interneuron,layer 1 interneuron,
AVBL,interneuron,layer 1 interneuron,
AVBR,interneuron,layer 1 interneuron,
AVDL,interneuron,layer 2 interneuron,
AVDR,interneuron,layer 2 interneuron,
AVEL,interneuron,layer 1 interneuron,
AVER,interneuron,layer 1 interneuron,
AVFL,interneuron,layer 3 interneuron,
AVFR,interneuron,layer 3 interneuron,
AVG,interneuron,layer 3 interneuron,
AVHL,interneuron,layer 3 interneuron,
AVHR,interneuron,layer 3 interneuron,
AVJL,interneuron,layer 2 interneuron,
AVJR,interneuron,layer 2 interneuron,
AVKL,interneuron,layer 2 interneuron,
AVKR,interneuron,layer 2 interneuron,
AVL,interneuron,layer 2 interneuron,
AVM,sensory,SN3,mechanosensory
AWAL,sensory,SN6,amphid
AWAR,sensory,SN6,amphid
AWBL,sensory,SN6,amphid
AWBR,sensory,SN6,amphid
AWCL,sensory,SN6,amphid
AWCR,sensory,SN6,amphid
BAGL,sensory,SN4,"O2, CO2, social signals, touch"
BAGR,sensory,SN4,"O2, CO2, social signals, touch"
BDUL,interneuron,layer 3 interneuron,
BDUR,interneuron,layer 3 interneuron,
CANL,neuron,endorgan,
CANR,neuron,endorgan,
CEPDL,sensory,SN1,cephalic
CEPDR,sensory,SN1,cephalic
CEPVL,sensory,SN1,cephalic
CEPVR,sensory,SN1,cephalic
DA01,motorneuron,ventral cord motor neuron,
DA02,motorneuron,ventral cord motor neuron,
DA03,motorneuron,ventral cord motor neuron,
DA04,motorneuron,ventral cord motor neuron,
DA05,motorneuron,ventral cord motor neuron,
DA06,motorneuron,ventral cord motor neuron,
DA07,motorneuron,ventral cord motor neuron,
DA08,motorneuron,ventral cord motor neuron,
DA09,motorneuron,ventral cord motor neuron,
DB01,motorneuron,ventral cord motor neuron,
DB02,motorneuron,ventral cord motor neuron,
DB03,motorneuron,ventral cord motor neuron,
DB04,motorneuron,ventral cord motor neuron,
DB05,motorneuron,ventral cord motor neuron,
DB06,motorneuron,ventral cord motor neuron,
DB07,motorneuron,ventral cord motor neuron,
DD01,motorneuron,ventral cord motor neuron,
DD02,motorneuron,ventral cord motor neuron,
DD03,motorneuron,ventral cord motor neuron,
DD04,motorneuron,ventral cord motor neuron,
DD05,motorneuron,ventral cord motor neuron,
DD06,motorneuron,ventral cord motor neuron,
DVA,sensory,SN3,mechanosensory
DVB,interneuron,layer 3 interneuron,
DVC,interneuron,layer 2 interneuron,
FLPL,sensory,SN3,mechanosensory
FLPR,sensory,SN3,mechanosensory
HSNL,motorneuron,sex-specific neuron,
HSNR,motorneuron,sex-specific neuron,
I1L,interneuron,,
I1R,interneuron,,
