generation,best,mean,worst
0,41.33333333333338,28.37166666666669,14.300000000000004
1,41.33333333333338,27.946666666666694,11.666666666666671
2,44.03333333333338,31.08000000000003,17.233333333333338
3,44.03333333333338,32.78500000000003,22.73333333333335
4,44.03333333333338,30.528333333333364,13.566666666666672
5,44.03333333333338,32.149166666666694,17.33333333333335
6,44.03333333333338,30.455833333333363,19.666666666666682
7,44.43333333333337,32.630833333333364,16.23333333333336
8,44.43333333333337,31.12166666666669,19.10000000000002
9,44.43333333333337,31.545000000000027,15.833333333333334
10,44.43333333333337,31.887500000000035,17.200000000000017
11,44.43333333333337,30.795000000000027,14.23333333333334
12,44.43333333333337,30.903333333333364,15.466666666666676
13,44.43333333333337,31.80916666666669,12.433333333333351
14,44.43333333333337,31.125833333333368,16.400000000000016
15,44.43333333333337,32.5241666666667,15.100000000000007
16,44.43333333333337,32.069166666666696,20.300000000000008
17,44.43333333333337,31.28333333333336,18.96666666666668
18,44.43333333333337,33.20333333333336,15.466666666666677
19,47.03333333333339,33.429166666666696,19.233333333333338
20,47.366666666666724,33.6191666666667,20.266666666666676
21,47.366666666666724,32.925833333333365,19.40000000000001
22,47.366666666666724,31.462500000000027,15.233333333333348
23,47.366666666666724,33.220000000000034,16.833333333333353
24,47.366666666666724,31.740833333333363,16.100000000000023
