generation,best,mean,worst
0,16.533333333333335,-11.165000000000001,-35.9
1,16.533333333333335,-4.050833333333335,-33.333333333333336
2,16.533333333333335,-0.5650000000000006,-33.56666666666667
3,16.533333333333335,-2.036666666666667,-29.533333333333335
4,16.533333333333335,0.13416666666666616,-33.9
5,19.133333333333333,2.3716666666666657,-34.96666666666667
6,19.133333333333333,5.565833333333332,-27.733333333333338
7,24.86666666666667,5.585833333333333,-34.233333333333334
8,24.86666666666667,2.5833333333333326,-36.46666666666667
9,24.86666666666667,1.5541666666666663,-36.5
10,24.86666666666667,4.36,-32.86666666666667
11,24.86666666666667,4.14,-29.76666666666667
12,24.86666666666667,1.368333333333334,-35.36666666666667
13,26.566666666666674,1.2508333333333335,-36.23333333333333
14,26.566666666666674,3.150000000000001,-33.4
15,26.566666666666674,0.9366666666666672,-36.5
16,26.566666666666674,3.083333333333335,-35.4
17,39.50000000000003,2.810833333333334,-35.86666666666667
18,39.50000000000003,3.621666666666667,-36.63333333333333
19,39.50000000000003,2.0833333333333344,-33.333333333333336
20,39.50000000000003,3.505833333333336,-34.300000000000004
21,39.50000000000003,7.868333333333335,-36.53333333333333
22,40.00000000000003,5.075833333333337,-33.86666666666667
23,40.00000000000003,4.039166666666668,-33.36666666666667
24,40.00000000000003,2.3791666666666687,-35.96666666666667
