generation,best,mean,worst
0,2.9000000000000004,-10.603333333333335,-32.86666666666667
1,4.233333333333332,-9.227500000000001,-34.46666666666667
2,9.266666666666667,-7.776666666666668,-36.46666666666667
3,9.833333333333334,-7.939166666666668,-35.43333333333334
4,9.833333333333334,-2.2008333333333336,-32.766666666666666
5,10.733333333333334,-4.590833333333333,-35.9
6,10.966666666666667,0.08916666666666603,-35.9
7,14.366666666666665,-0.34750000000000014,-34.9
8,15.566666666666663,-2.699166666666667,-34.86666666666667
9,15.566666666666663,-1.430000000000001,-36.300000000000004
10,15.566666666666663,-7.155833333333334,-34.2
11,16.266666666666666,-1.8383333333333343,-34.93333333333334
12,16.266666666666666,-1.4791666666666672,-31.200000000000003
13,16.266666666666666,-1.7333333333333336,-35.300000000000004
14,25.733333333333334,-4.275,-35.93333333333333
15,25.733333333333334,-2.3025000000000007,-35.166666666666664
16,25.733333333333334,-6.171666666666667,-35.300000000000004
17,25.733333333333334,-4.274166666666668,-35.36666666666667
18,25.733333333333334,-2.6058333333333343,-36.6
19,25.733333333333334,-2.6225000000000014,-36.0
20,25.733333333333334,0.4949999999999992,-32.800000000000004
21,25.733333333333334,-2.8675000000000015,-33.233333333333334
22,25.733333333333334,2.3883333333333328,-35.56666666666666
23,25.733333333333334,-3.535000000000001,-34.733333333333334
24,25.733333333333334,-0.10000000000000071,-33.0
