generation,best,mean,worst
0,1.9666666666666668,-24.758333333333333,-60.36666666666667
1,6.133333333333333,-11.356666666666666,-52.09999999999999
2,6.133333333333333,-7.234166666666665,-42.6
3,6.900000000000001,-5.614166666666666,-44.13333333333333
4,6.900000000000001,-6.596666666666667,-38.43333333333333
5,6.900000000000001,-2.8324999999999996,-25.099999999999998
6,6.900000000000001,-7.9816666666666665,-57.933333333333316
7,6.900000000000001,-6.641666666666666,-39.23333333333333
8,6.900000000000001,-4.237499999999999,-42.56666666666667
9,6.900000000000001,-7.740833333333333,-51.599999999999994
10,6.900000000000001,-3.0983333333333323,-36.46666666666666
11,8.066666666666666,-5.4825,-38.4
12,8.066666666666666,-7.629999999999998,-37.93333333333333
13,8.066666666666666,-7.298333333333332,-52.66666666666666
14,8.066666666666666,-1.2633333333333332,-37.63333333333333
15,8.066666666666666,-4.2333333333333325,-48.46666666666667
16,8.066666666666666,-5.274166666666666,-54.633333333333326
17,8.066666666666666,-10.388333333333332,-62.46666666666667
18,8.066666666666666,-2.430833333333333,-46.099999999999994
19,8.066666666666666,-2.961666666666665,-31.63333333333333
20,8.066666666666666,-3.8999999999999986,-55.03333333333331
21,8.066666666666666,-6.520833333333333,-37.166666666666664
22,8.066666666666666,-6.185833333333332,-36.199999999999996
23,8.066666666666666,-7.323333333333332,-49.46666666666666
24,8.066666666666666,-8.499999999999998,-43.800000000000004
