generation,best,mean,worst
0,6.833333333333337,-4.274166666666666,-19.2
1,6.833333333333337,-4.638333333333334,-20.233333333333334
2,6.833333333333337,-2.793333333333333,-24.900000000000002
3,6.833333333333337,-4.297499999999999,-25.533333333333335
4,6.833333333333337,-1.835833333333332,-19.466666666666665
5,6.933333333333341,-3.209999999999998,-32.333333333333336
6,6.933333333333341,-5.301666666666665,-39.0
7,7.100000000000009,-4.509999999999998,-38.666666666666664
8,7.100000000000009,-4.883333333333331,-38.76666666666666
9,7.100000000000009,-3.1974999999999976,-32.266666666666666
10,7.233333333333342,-3.987499999999998,-35.99999999999999
11,7.233333333333342,-4.628333333333332,-26.2
12,7.233333333333342,-7.9758333333333296,-37.23333333333333
13,7.233333333333342,-7.859999999999997,-38.699999999999996
14,7.233333333333342,-4.600833333333331,-38.1
15,7.233333333333342,-5.568333333333331,-39.0
16,7.233333333333342,-3.8441666666666636,-43.06666666666666
17,7.233333333333342,-4.7899999999999965,-38.166666666666664
18,7.300000000000011,-4.424999999999996,-34.533333333333324
19,7.300000000000011,-3.229166666666662,-19.333333333333332
20,7.300000000000011,-3.0508333333333306,-23.833333333333332
21,7.300000000000011,-3.114999999999997,-24.333333333333332
22,7.300000000000011,-4.865833333333331,-31.966666666666665
23,7.300000000000011,-6.514999999999998,-38.86666666666667
24,7.366666666666677,-2.7066666666666626,-39.03333333333333
