generation,best,mean,worst
0,-29.0,-31.57833333333333,-32.13333333333333
1,-23.96666666666667,-30.306666666666665,-32.13333333333333
2,-22.766666666666666,-27.924166666666668,-32.166666666666664
3,-22.133333333333336,-24.780833333333337,-30.7
4,-21.3,-23.003333333333337,-27.96666666666667
5,-20.966666666666665,-22.095000000000002,-25.066666666666666
6,-20.566666666666666,-21.322499999999998,-22.333333333333332
7,-20.1,-21.168333333333333,-22.700000000000003
8,-19.6,-20.5975,-21.333333333333332
9,-19.6,-20.138333333333332,-21.133333333333336
10,-19.599999999999998,-19.705833333333334,-20.26666666666667
11,-19.599999999999998,-19.695833333333333,-20.26666666666667
12,-19.599999999999998,-19.815833333333334,-20.900000000000002
13,-19.599999999999998,-19.7275,-20.3
14,-19.599999999999998,-19.689166666666672,-20.433333333333334
15,-19.599999999999998,-19.699166666666667,-20.666666666666668
16,-19.599999999999998,-19.737500000000004,-21.000000000000004
17,-19.599999999999998,-19.768333333333334,-20.96666666666667
18,-19.599999999999998,-19.765000000000004,-20.433333333333334
19,-19.599999999999998,-19.788333333333334,-20.933333333333334
20,-19.599999999999998,-19.730833333333333,-20.3
21,-19.599999999999998,-19.722500000000004,-20.566666666666666
22,-19.599999999999998,-19.715000000000003,-20.3
23,-19.599999999999998,-19.820833333333333,-20.633333333333336
24,-19.599999999999998,-19.707500000000003,-20.3
