generation,best,mean,worst
0,-18.5,-30.476666666666667,-66.13333333333331
1,-18.5,-25.134166666666665,-32.93333333333333
2,-18.5,-23.4725,-50.59999999999997
3,-12.633333333333338,-25.273333333333333,-51.866666666666674
4,-12.633333333333338,-24.134999999999998,-51.9
5,-12.633333333333338,-21.951666666666664,-32.86666666666667
6,-12.633333333333338,-21.90333333333333,-32.9
7,-12.633333333333338,-22.69166666666667,-32.833333333333336
8,-12.633333333333338,-23.523333333333333,-32.96666666666667
9,-12.633333333333338,-22.415,-40.699999999999996
10,-12.633333333333338,-22.300833333333337,-48.73333333333333
11,-7.266666666666669,-21.945833333333333,-44.300000000000004
12,-2.6000000000000005,-24.100833333333334,-51.5
13,-2.6000000000000005,-24.374999999999996,-63.300000000000004
14,-2.6000000000000005,-21.565,-38.86666666666667
15,-2.6000000000000005,-23.078333333333333,-48.666666666666664
16,-2.6000000000000005,-22.645,-40.333333333333336
17,-2.6000000000000005,-20.726666666666667,-34.96666666666666
18,-2.2000000000000024,-20.682499999999997,-52.43333333333334
19,0.46666666666666684,-18.15,-33.0
20,0.46666666666666684,-21.565833333333334,-67.06666666666666
21,0.46666666666666684,-18.431666666666665,-41.333333333333336
22,0.46666666666666684,-21.685000000000002,-47.333333333333336
23,0.46666666666666684,-17.211666666666666,-34.3
24,0.46666666666666684,-19.009999999999998,-51.76666666666665
