generation,best,mean,worst
0,-25.599999999999994,-33.835833333333326,-71.83333333333333
1,-19.566666666666666,-28.833333333333332,-51.99999999999999
2,-19.400000000000002,-22.285833333333333,-32.666666666666664
3,-19.400000000000002,-22.366666666666664,-33.0
4,-19.333333333333332,-22.756666666666668,-32.86666666666667
5,-19.333333333333332,-22.296666666666667,-33.1
6,-19.166666666666668,-22.883333333333333,-33.099999999999994
7,-19.066666666666666,-22.52916666666667,-32.86666666666667
8,-19.066666666666666,-23.286666666666665,-32.9
9,-19.066666666666666,-22.534166666666668,-32.699999999999996
10,-18.9,-23.341666666666665,-32.76666666666667
11,-18.8,-22.951666666666664,-32.96666666666667
12,-18.7,-23.454166666666666,-38.8
13,-18.7,-23.2275,-33.06666666666667
14,-18.7,-24.56083333333333,-39.266666666666666
15,-18.533333333333335,-24.1375,-33.03333333333333
16,-18.533333333333335,-23.189166666666665,-32.73333333333333
17,-18.533333333333335,-23.437499999999996,-40.86666666666667
18,-18.2,-21.664166666666667,-32.63333333333333
19,-18.2,-23.656666666666666,-48.333333333333336
20,-18.2,-23.438333333333333,-32.9
21,-18.2,-24.851666666666667,-48.73333333333333
22,-18.2,-22.668333333333333,-38.46666666666667
23,-17.9,-23.018333333333334,-48.79999999999999
24,-17.9,-24.218333333333334,-50.43333333333334
