generation,best,mean,worst
0,-19.099999999999998,-28.80833333333333,-39.166666666666664
1,-14.1,-23.551666666666666,-33.06666666666667
2,-2.233333333333334,-23.306666666666665,-45.5
3,-2.233333333333334,-20.330833333333334,-39.199999999999996
4,-2.233333333333334,-19.471666666666664,-32.96666666666666
5,-2.233333333333334,-17.627499999999998,-30.566666666666663
6,3.9666666666666663,-16.21333333333333,-32.86666666666667
7,3.9666666666666663,-15.021666666666667,-41.03333333333333
8,3.9666666666666663,-14.448333333333334,-46.800000000000004
9,4.7333333333333325,-15.344166666666666,-32.86666666666667
10,6.433333333333338,-14.944999999999999,-32.73333333333333
11,6.433333333333338,-16.982499999999998,-52.56666666666666
12,6.433333333333338,-14.846666666666664,-31.566666666666663
13,6.433333333333338,-17.1625,-44.56666666666666
14,6.433333333333338,-16.214999999999996,-41.36666666666667
15,6.433333333333338,-15.241666666666665,-32.333333333333336
16,6.433333333333338,-15.661666666666667,-32.666666666666664
17,6.433333333333338,-15.730833333333333,-32.96666666666667
18,6.433333333333338,-14.104999999999999,-31.633333333333336
19,6.433333333333338,-16.267500000000002,-32.800000000000004
20,6.433333333333338,-15.314166666666665,-32.766666666666666
21,6.433333333333338,-14.8375,-44.800000000000004
22,6.433333333333338,-15.709999999999999,-47.26666666666666
23,6.433333333333338,-13.216666666666665,-43.36666666666667
24,6.433333333333338,-15.291666666666663,-44.96666666666666
