generation,best,mean,worst
0,6.266666666666669,-11.679166666666665,-24.53333333333333
1,6.266666666666669,-1.2849999999999997,-19.366666666666667
2,6.266666666666669,-1.8266666666666662,-19.599999999999998
3,6.266666666666669,-0.47833333333333294,-19.400000000000002
4,6.266666666666669,-0.18416666666666615,-25.733333333333334
5,6.266666666666669,-0.37499999999999944,-19.366666666666667
6,6.266666666666669,-2.928333333333333,-21.63333333333333
7,6.266666666666669,-0.7999999999999993,-19.400000000000002
8,6.266666666666669,-1.2591666666666659,-25.0
9,6.933333333333338,-2.562499999999999,-25.26666666666667
10,6.9666666666666694,-2.7691666666666657,-20.76666666666667
11,6.9666666666666694,-5.552499999999998,-24.400000000000002
12,7.000000000000004,-1.5824999999999982,-32.0
13,7.066666666666671,-2.317499999999998,-31.099999999999998
14,7.066666666666671,-4.381666666666666,-24.8
15,7.066666666666671,-5.806666666666665,-32.03333333333333
16,7.066666666666671,-5.492499999999998,-33.666666666666664
17,7.066666666666671,-6.639166666666665,-31.766666666666666
18,7.066666666666671,-8.438333333333333,-32.53333333333333
19,7.066666666666671,-5.2191666666666645,-31.7
20,7.100000000000006,-4.606666666666665,-25.099999999999998
21,7.500000000000006,-0.694166666666664,-25.066666666666663
22,7.500000000000006,-2.859999999999997,-30.933333333333337
23,7.500000000000006,-3.0033333333333303,-19.266666666666666
24,7.800000000000008,-5.242499999999998,-33.36666666666667
