generation,best,mean,worst
0,2.2000000000000006,-21.204999999999995,-57.49999999999997
1,3.4000000000000017,-8.72583333333333,-45.26666666666666
2,3.4000000000000017,-4.930833333333332,-26.299999999999997
3,3.4000000000000017,-2.9274999999999993,-32.199999999999996
4,3.5666666666666687,-2.877499999999999,-38.43333333333333
5,3.9000000000000017,-5.369999999999997,-32.3
6,3.9000000000000017,-5.8249999999999975,-38.533333333333324
7,3.9000000000000017,-6.705833333333331,-44.666666666666664
8,3.9000000000000017,-6.448333333333329,-46.73333333333332
9,3.9000000000000017,-5.955833333333331,-38.73333333333333
10,5.733333333333334,-6.344166666666665,-54.16666666666666
11,5.733333333333334,-7.545833333333332,-45.166666666666664
12,5.733333333333334,-9.448333333333329,-70.93333333333332
13,5.733333333333334,-7.391666666666664,-38.36666666666665
14,5.733333333333334,-8.254999999999997,-44.76666666666666
15,5.733333333333334,-7.639166666666665,-40.0
16,8.399999999999997,-8.534166666666664,-34.59999999999999
17,8.399999999999997,-10.898333333333332,-56.23333333333333
18,8.399999999999997,-6.469999999999999,-24.466666666666672
19,8.399999999999997,-8.34333333333333,-43.86666666666667
20,8.399999999999997,-7.030833333333332,-50.93333333333333
21,8.399999999999997,-9.530833333333332,-44.833333333333336
22,8.399999999999997,-9.774166666666664,-54.09999999999999
23,8.399999999999997,-6.224999999999999,-40.4
24,8.399999999999997,-6.576666666666665,-43.93333333333333
