generation,best,mean,worst
0,-18.5,-30.476666666666667,-66.13333333333331
1,-18.5,-25.134166666666665,-32.93333333333333
2,-18.5,-23.4725,-50.59999999999997
3,-12.633333333333338,-25.29,-51.866666666666674
4,-12.633333333333338,-24.134999999999998,-51.9
5,-12.633333333333338,-21.951666666666664,-32.86666666666667
6,-12.633333333333338,-21.90333333333333,-32.9
7,-12.633333333333338,-22.69166666666667,-32.833333333333336
8,-12.633333333333338,-23.54,-32.96666666666667
9,-12.633333333333338,-22.431666666666665,-41.36666666666667
10,-12.633333333333338,-22.317500000000003,-48.73333333333333
11,-7.266666666666669,-23.6325,-48.99999999999999
12,-7.266666666666669,-25.750833333333333,-51.5
13,-7.266666666666669,-21.393333333333334,-44.333333333333336
14,-7.266666666666669,-25.20583333333333,-58.900000000000006
15,-7.266666666666669,-25.719166666666666,-51.566666666666656
16,-7.266666666666669,-23.419999999999998,-49.99999999999999
17,-7.266666666666669,-22.6375,-52.166666666666664
18,-7.266666666666669,-21.01666666666667,-37.43333333333334
19,-7.266666666666669,-21.888333333333332,-45.666666666666664
20,-7.266666666666669,-25.976666666666667,-58.59999999999999
21,-1.9000000000000015,-23.52833333333333,-53.300000000000004
22,-1.9000000000000015,-24.479166666666668,-66.3
23,-1.9000000000000015,-21.2175,-37.166666666666664
24,-1.9000000000000015,-21.68333333333333,-45.666666666666664
