generation,best,mean,worst
0,-24.900000000000002,-31.43666666666666,-32.166666666666664
1,-24.066666666666666,-29.685833333333324,-31.866666666666664
2,-23.533333333333335,-27.40666666666666,-44.49999999999998
3,-22.433333333333334,-24.764166666666664,-31.066666666666645
4,-21.96666666666667,-23.1325,-24.86666666666667
5,-21.333333333333332,-22.581666666666667,-26.633333333333336
6,-20.6,-21.816666666666666,-23.433333333333334
7,-20.6,-21.269166666666667,-22.666666666666668
8,-20.2,-20.755000000000003,-22.833333333333332
9,-19.933333333333334,-20.40666666666667,-21.0
10,-19.6,-20.2025,-21.366666666666664
11,-19.533333333333335,-20.021666666666665,-20.566666666666666
12,-19.533333333333335,-19.722500000000004,-20.1
13,-19.466666666666665,-19.605833333333333,-20.0
14,-19.466666666666665,-19.586666666666666,-20.2
15,-19.466666666666665,-19.549166666666668,-20.033333333333335
16,-19.466666666666665,-19.57,-19.966666666666665
17,-19.466666666666665,-19.561666666666667,-20.166666666666668
18,-19.466666666666665,-19.54,-19.966666666666665
19,-19.466666666666665,-19.530833333333334,-20.133333333333333
20,-19.466666666666665,-19.565,-20.566666666666666
21,-19.466666666666665,-19.526666666666664,-19.966666666666665
22,-19.466666666666665,-19.514999999999997,-19.833333333333332
23,-19.466666666666665,-19.509999999999998,-19.8
24,-19.466666666666665,-19.5075,-19.8
