generation,best,mean,worst
0,-4.8666666666666645,-37.07833333333333,-72.73333333333332
1,-4.8666666666666645,-25.174166666666668,-46.23333333333333
2,-4.8666666666666645,-25.388333333333332,-54.56666666666664
3,-3.933333333333334,-24.441666666666666,-51.79999999999999
4,-3.933333333333334,-24.543333333333333,-65.10000000000001
5,-3.933333333333334,-24.303333333333335,-46.06666666666666
6,-3.933333333333334,-22.99,-51.96666666666666
7,-3.933333333333334,-22.80833333333333,-52.03333333333333
8,-2.5333333333333328,-21.655,-55.63333333333333
9,-0.6666666666666664,-19.489166666666666,-32.4
10,-0.6666666666666664,-21.405833333333334,-64.66666666666667
11,-0.6666666666666664,-21.336666666666666,-50.5
12,-0.6666666666666664,-19.725833333333334,-45.96666666666667
13,-0.6666666666666664,-19.28666666666667,-46.26666666666667
14,-0.6666666666666664,-20.152499999999996,-52.06666666666666
15,2.566666666666666,-22.554999999999996,-56.16666666666666
16,2.566666666666666,-21.829166666666666,-46.36666666666665
17,2.566666666666666,-19.958333333333332,-50.43333333333333
18,2.566666666666666,-19.659166666666664,-46.5
19,2.566666666666666,-19.697499999999998,-51.76666666666667
20,2.566666666666666,-17.066666666666666,-46.06666666666666
21,2.566666666666666,-19.201666666666664,-37.833333333333336
22,2.566666666666666,-19.945,-57.73333333333333
23,5.900000000000003,-17.493333333333332,-49.599999999999994
24,5.900000000000003,-14.872499999999997,-50.86666666666665
