generation,best,mean,worst
0,6.066666666666667,-25.407499999999995,-63.533333333333324
1,6.066666666666667,-20.089999999999996,-57.76666666666666
2,6.066666666666667,-13.434999999999997,-45.03333333333333
3,6.066666666666667,-7.469999999999999,-54.066666666666656
4,6.066666666666667,-4.579999999999998,-38.766666666666666
5,6.066666666666667,-3.1791666666666663,-39.166666666666664
6,6.066666666666667,-2.570833333333333,-19.5
7,6.700000000000002,-2.5616666666666656,-45.13333333333333
8,6.700000000000002,-4.4783333333333335,-39.233333333333334
9,7.000000000000001,-4.603333333333333,-45.6
10,7.000000000000001,-7.1674999999999995,-38.199999999999996
11,7.000000000000001,-5.984166666666665,-43.63333333333333
12,7.000000000000001,-8.6625,-45.43333333333333
13,7.000000000000001,-3.2616666666666654,-45.833333333333336
14,7.000000000000001,-5.656666666666666,-39.833333333333336
15,7.000000000000001,-4.5699999999999985,-38.63333333333333
16,7.000000000000003,-8.341666666666665,-37.93333333333333
17,7.000000000000003,-12.059166666666666,-43.800000000000004
18,7.833333333333339,-7.9933333333333305,-41.166666666666664
19,7.833333333333339,-7.642499999999998,-44.800000000000004
20,12.600000000000003,-5.6533333333333315,-38.199999999999996
21,13.366666666666674,-7.469999999999999,-36.96666666666666
22,13.366666666666674,-8.096666666666664,-44.73333333333333
23,13.366666666666674,-8.007499999999997,-52.266666666666644
24,13.366666666666674,-4.622499999999998,-34.93333333333333
