generation,best,mean,worst
0,1.3333333333333333,-12.606666666666666,-38.833333333333336
1,5.733333333333334,-2.3716666666666666,-19.599999999999998
2,5.733333333333334,-3.943333333333334,-25.13333333333333
3,5.733333333333334,-1.8574999999999995,-19.866666666666667
4,5.766666666666667,-4.164166666666667,-32.76666666666667
5,5.800000000000001,0.17333333333333362,-19.599999999999998
6,5.800000000000001,-0.9424999999999997,-27.666666666666668
7,5.866666666666668,-1.5158333333333331,-32.13333333333333
8,5.866666666666668,-0.6774999999999997,-20.03333333333333
9,6.133333333333336,-0.3141666666666662,-19.533333333333335
10,6.133333333333336,-1.3624999999999992,-45.53333333333333
11,6.266666666666672,-4.781666666666665,-45.5
12,6.266666666666672,-4.784999999999998,-31.299999999999997
13,6.266666666666672,-6.6291666666666655,-40.56666666666666
14,7.033333333333335,-4.088333333333332,-45.53333333333333
15,7.033333333333335,-4.0524999999999975,-42.03333333333333
16,7.033333333333335,-6.664999999999997,-40.733333333333334
17,7.033333333333335,-8.111666666666665,-38.766666666666666
18,7.033333333333335,-9.08083333333333,-41.03333333333333
19,7.033333333333335,-8.211666666666664,-32.800000000000004
20,7.033333333333335,-6.530833333333331,-44.199999999999996
21,7.033333333333335,-6.131666666666665,-25.866666666666664
22,7.033333333333335,-6.314999999999998,-34.36666666666667
23,8.533333333333331,-3.559166666666664,-24.966666666666665
24,8.533333333333331,-4.139999999999996,-23.599999999999998
