generation,best,mean,worst
0,-18.766666666666666,-27.49583333333333,-49.29999999999999
1,-18.033333333333335,-23.84083333333333,-55.699999999999996
2,-18.033333333333335,-23.788333333333334,-31.966666666666665
3,-18.033333333333335,-22.325,-34.73333333333334
4,-18.033333333333335,-24.906666666666666,-67.36666666666666
5,-18.033333333333335,-22.726666666666667,-48.76666666666665
6,-17.7,-22.14833333333333,-51.09999999999999
7,-6.800000000000001,-22.560000000000002,-52.666666666666664
8,-6.800000000000001,-22.736666666666665,-51.133333333333326
9,-6.800000000000001,-22.682499999999997,-50.73333333333333
10,-6.800000000000001,-22.735,-56.20000000000001
11,-6.800000000000001,-24.476666666666667,-58.96666666666666
12,-4.800000000000001,-23.791666666666664,-51.36666666666665
13,-0.9666666666666668,-20.391666666666666,-37.23333333333333
14,2.866666666666669,-16.306666666666665,-38.7
15,2.866666666666669,-18.057499999999997,-36.46666666666666
16,2.866666666666669,-17.416666666666664,-35.96666666666666
17,6.666666666666674,-18.208333333333336,-39.300000000000004
18,6.666666666666674,-18.769166666666667,-53.199999999999996
19,6.666666666666674,-18.71,-51.333333333333336
20,6.666666666666674,-18.008333333333333,-54.73333333333333
21,6.666666666666674,-15.85,-51.79999999999998
22,6.666666666666674,-19.744166666666665,-50.633333333333326
23,6.666666666666674,-17.14083333333333,-38.93333333333334
24,6.666666666666674,-18.744166666666665,-39.36666666666667
