generation,best,mean,worst
0,-18.7,-24.634999999999998,-45.800000000000004
1,-18.7,-24.89666666666667,-48.833333333333336
2,-18.566666666666666,-22.429166666666667,-32.766666666666666
3,-18.23333333333333,-23.333333333333332,-33.03333333333333
4,-18.033333333333335,-24.31583333333333,-51.96666666666667
5,-18.033333333333335,-21.95,-43.79999999999999
6,-18.033333333333335,-22.919999999999998,-42.699999999999996
7,-18.033333333333335,-22.56,-32.86666666666667
8,-18.033333333333335,-22.318333333333335,-44.56666666666666
9,-18.033333333333335,-21.567500000000003,-36.3
10,-18.033333333333335,-21.8675,-45.666666666666664
11,-18.033333333333335,-21.175,-44.56666666666666
12,-17.966666666666665,-24.0375,-64.46666666666665
13,-17.966666666666665,-22.899166666666666,-51.5
14,-17.966666666666665,-21.389166666666664,-45.800000000000004
15,-17.966666666666665,-21.639166666666664,-49.46666666666667
16,-17.966666666666665,-21.989166666666666,-54.699999999999996
17,-17.900000000000002,-21.399166666666666,-46.06666666666666
18,-17.900000000000002,-21.160833333333336,-50.86666666666667
19,-17.900000000000002,-23.371666666666663,-45.800000000000004
20,-17.900000000000002,-23.455000000000002,-49.199999999999996
21,-2.733333333333334,-20.377499999999998,-45.699999999999996
22,-2.733333333333334,-20.580000000000002,-32.93333333333333
23,-2.733333333333334,-23.08416666666667,-52.43333333333333
24,-2.733333333333334,-20.614166666666666,-51.26666666666667
