generation,best,mean,worst
0,1.9166666666666672,-8.541041666666661,-29.274999999999995
1,1.9166666666666672,-6.514999999999998,-43.633333333333326
2,1.9166666666666672,-5.109166666666665,-35.34166666666665
3,2.008333333333334,-2.1799999999999984,-20.59999999999999
4,2.008333333333334,-1.5918749999999988,-19.324999999999985
5,2.008333333333334,-1.1891666666666656,-22.966666666666654
6,2.0666666666666673,-1.6535416666666651,-19.683333333333326
7,2.0666666666666673,-1.6035416666666655,-17.583333333333325
8,2.0666666666666673,-2.876666666666666,-30.291666666666668
9,2.0666666666666673,-2.124374999999999,-28.524999999999995
10,2.2250000000000005,-2.4591666666666656,-19.249999999999996
11,2.2250000000000005,-2.609583333333333,-32.89166666666666
12,2.2250000000000005,-2.8545833333333324,-30.125
13,2.2250000000000005,-4.088749999999999,-32.266666666666666
14,2.2250000000000005,-1.7706249999999994,-22.5
15,2.375000000000001,-2.7035416666666654,-37.12499999999999
16,2.450000000000001,-1.7210416666666664,-26.60833333333333
17,2.450000000000001,-3.8572916666666663,-33.800000000000004
18,2.5500000000000003,-4.484583333333331,-27.308333333333334
19,3.0999999999999996,-2.69625,-25.150000000000002
20,3.0999999999999996,-4.299791666666666,-31.28333333333333
21,3.0999999999999996,-3.5810416666666653,-30.383333333333322
22,3.1,-3.6197916666666656,-34.800000000000004
23,3.1,-3.0543749999999994,-32.29999999999999
24,3.1500000000000004,-2.8279166666666664,-20.61666666666667
25,3.5416666666666656,0.4304166666666667,-19.008333333333333
26,3.5416666666666656,-5.561874999999999,-28.549999999999997
27,3.5416666666666656,-2.7625,-28.299999999999997
28,3.5416666666666656,-5.2454166666666655,-27.891666666666666
29,3.5416666666666656,-4.476041666666665,-26.933333333333323
30,3.5416666666666656,-4.172291666666666,-27.866666666666656
31,3.666666666666666,-1.0787499999999997,-30.958333333333332
32,3.666666666666666,-4.83625,-25.633333333333326
33,3.666666666666666,-3.645624999999999,-28.549999999999986
34,3.666666666666666,-2.1883333333333335,-23.83333333333333
35,3.666666666666666,-6.166666666666667,-37.15
36,3.666666666666666,-5.761041666666666,-40.18333333333332
37,3.666666666666666,-4.142708333333333,-25.25
38,3.666666666666666,-5.015833333333333,-41.166666666666664
39,3.666666666666666,-4.18875,-25.441666666666666
40,3.666666666666666,-9.207708333333333,-27.316666666666663
41,3.666666666666666,-4.487291666666666,-32.15
42,3.666666666666666,-2.7908333333333335,-28.291666666666668
43,4.141666666666668,-3.0141666666666667,-22.525000000000002
44,4.141666666666668,-1.8727083333333325,-22.816666666666666
45,4.141666666666668,-2.7187499999999996,-26.058333333333334
46,4.208333333333333,-4.776458333333332,-27.033333333333328
47,4.208333333333333,-5.593958333333332,-25.349999999999998
48,4.208333333333333,-5.763333333333332,-35.74999999999999
49,4.208333333333333,-3.9608333333333334,-28.083333333333332
50,4.208333333333333,-4.566041666666666,-31.325
51,4.208333333333333,-5.626041666666666,-29.28333333333333
52,5.033333333333332,-1.6402083333333333,-22.45
53,5.458333333333335,-3.632708333333332,-29.191666666666663
54,5.458333333333335,-2.475833333333332,-20.816666666666656
55,5.458333333333335,-4.271249999999999,-28.016666666666666
56,5.458333333333335,-2.907916666666666,-29.141666666666662
57,5.458333333333335,-5.661041666666665,-28.65833333333333
58,5.458333333333335,-5.261249999999999,-28.49166666666667
59,5.458333333333335,-5.9381249999999985,-32.14166666666665
