generation,best,mean,worst
0,5.7,-5.894166666666664,-37.73333333333331
1,7.166666666666669,-2.8149999999999995,-33.36666666666667
2,7.166666666666669,-2.898333333333333,-31.266666666666662
3,7.166666666666669,-3.363333333333331,-36.73333333333331
4,7.166666666666669,-3.5216666666666656,-36.066666666666656
5,7.166666666666669,-4.399166666666664,-36.46666666666666
6,7.166666666666669,-3.926666666666666,-35.96666666666667
7,7.366666666666667,-5.071666666666665,-62.399999999999984
8,11.700000000000003,-1.7416666666666654,-29.133333333333326
9,11.700000000000003,-7.668333333333332,-59.06666666666666
10,11.700000000000003,-9.259166666666665,-55.533333333333324
11,11.700000000000003,-4.429999999999999,-37.9
12,11.700000000000003,-8.808333333333332,-38.199999999999996
13,13.800000000000024,-4.122499999999997,-31.433333333333326
14,13.800000000000024,-10.224166666666662,-52.23333333333332
15,13.800000000000024,-4.384999999999997,-37.833333333333336
16,13.800000000000024,-9.21333333333333,-50.96666666666666
17,13.800000000000024,-8.879999999999997,-57.066666666666656
18,13.800000000000024,-7.544999999999996,-39.43333333333334
19,13.800000000000024,-8.537499999999998,-57.666666666666664
20,13.800000000000024,-5.038333333333332,-43.166666666666664
21,13.800000000000024,-8.95583333333333,-45.36666666666667
22,13.800000000000024,-8.141666666666666,-49.63333333333333
23,13.800000000000024,-7.626666666666663,-39.73333333333333
24,13.800000000000024,-5.329166666666664,-30.099999999999994
