generation,best,mean,worst
0,2.600000000000001,-10.23916666666666,-39.69999999999999
1,6.166666666666668,-4.850833333333331,-29.799999999999986
2,6.233333333333335,-9.382499999999997,-45.0
3,6.233333333333335,-5.723333333333332,-45.5
4,6.233333333333335,-6.708333333333331,-51.699999999999996
5,6.233333333333335,-4.892499999999998,-59.166666666666664
6,6.566666666666671,-5.221666666666665,-54.36666666666665
7,6.766666666666674,-4.112499999999998,-45.633333333333326
8,6.933333333333343,-0.2533333333333319,-31.933333333333337
9,6.933333333333343,-3.531666666666665,-38.29999999999999
10,7.13333333333334,-1.9908333333333315,-21.333333333333332
11,7.13333333333334,-4.960833333333332,-38.9
12,7.13333333333334,-1.4533333333333318,-22.299999999999997
13,7.13333333333334,-2.3274999999999983,-31.63333333333333
14,7.13333333333334,-4.943333333333332,-36.433333333333316
15,7.666666666666669,-4.877499999999998,-32.96666666666667
16,7.666666666666669,-3.833333333333331,-44.9
17,7.666666666666669,-4.17333333333333,-31.06666666666668
18,7.666666666666669,-4.0041666666666655,-45.79999999999999
19,7.666666666666669,-2.622499999999998,-24.933333333333334
20,7.666666666666669,-3.5441666666666647,-24.166666666666668
21,7.666666666666669,-5.194999999999998,-32.43333333333333
22,7.666666666666669,-5.101666666666666,-35.56666666666667
23,7.666666666666669,-4.624166666666665,-34.0
24,7.700000000000003,-2.346666666666665,-26.933333333333334
