generation,best,mean,worst
0,6.233333333333338,-6.860833333333334,-31.96666666666667
1,6.233333333333338,-2.0349999999999997,-31.799999999999997
2,6.233333333333338,-3.1391666666666658,-27.533333333333328
3,6.233333333333338,-1.5116666666666667,-31.733333333333334
4,6.366666666666673,-6.253333333333333,-45.96666666666667
5,6.366666666666673,-2.6733333333333325,-31.466666666666665
6,6.400000000000005,-1.8483333333333323,-51.166666666666664
7,6.400000000000005,-6.006666666666666,-45.96666666666667
8,6.400000000000005,-1.7116666666666656,-45.9
9,6.400000000000007,-0.9874999999999989,-25.933333333333334
10,6.400000000000007,-11.694166666666664,-46.0
11,6.533333333333339,-5.923333333333333,-45.9
12,6.533333333333339,-9.645,-47.13333333333333
13,6.533333333333339,-7.134166666666664,-45.833333333333336
14,6.533333333333339,-8.884166666666664,-45.833333333333336
15,7.766666666666673,-7.117499999999998,-45.06666666666666
16,7.766666666666673,-7.5941666666666645,-45.666666666666664
17,7.766666666666673,-9.550833333333332,-45.833333333333336
18,7.766666666666673,-8.573333333333332,-45.86666666666667
19,7.766666666666673,-11.77333333333333,-45.93333333333334
20,7.766666666666673,-7.351666666666665,-50.699999999999996
21,7.766666666666673,-7.213333333333333,-45.76666666666667
22,7.766666666666673,-8.760833333333332,-42.43333333333333
23,7.766666666666673,-12.404999999999998,-49.199999999999996
24,7.766666666666673,-7.719999999999999,-45.833333333333336
