generation,best,mean,worst
0,7.2,-11.162499999999998,-38.39999999999999
1,7.2,-3.0199999999999987,-24.33333333333333
2,7.2,-7.450833333333331,-47.099999999999994
3,7.2,-3.836666666666666,-39.0
4,7.2,-5.0508333333333315,-58.300000000000004
5,7.2,-3.5641666666666643,-30.23333333333332
6,7.2,-4.299166666666663,-50.29999999999999
7,7.2,-6.157499999999997,-34.166666666666664
8,7.2,-6.154166666666664,-25.3
9,7.2,-8.003333333333329,-51.56666666666664
10,7.2,-8.779999999999998,-50.033333333333324
11,7.833333333333342,-7.411666666666662,-37.73333333333333
12,7.900000000000003,-4.31083333333333,-39.03333333333334
13,7.900000000000003,-2.011666666666664,-36.4
14,13.166666666666677,-2.591666666666664,-46.199999999999996
15,13.166666666666677,-4.906666666666663,-39.96666666666666
16,13.166666666666677,-1.884166666666663,-53.6
17,13.30000000000001,-5.3074999999999966,-50.800000000000004
18,13.30000000000001,-3.2491666666666625,-43.33333333333332
19,14.233333333333354,-7.1233333333333295,-52.73333333333333
20,14.333333333333352,-6.209166666666663,-44.93333333333334
21,14.333333333333352,-2.418333333333327,-39.199999999999996
22,14.533333333333344,-3.424166666666661,-43.76666666666667
23,14.533333333333344,-7.6091666666666615,-42.599999999999994
24,14.533333333333344,-2.7908333333333286,-49.36666666666667
