generation,best,mean,worst
0,7.4333333333333345,-16.78166666666666,-53.899999999999984
1,7.4333333333333345,-4.779166666666667,-55.29999999999999
2,7.4333333333333345,-5.479166666666664,-42.43333333333333
3,7.4333333333333345,-2.5808333333333318,-30.533333333333335
4,7.4333333333333345,-3.6441666666666648,-31.899999999999995
5,7.4333333333333345,-7.171666666666664,-41.46666666666667
6,7.63333333333334,-6.435833333333332,-44.36666666666665
7,7.733333333333345,-4.477499999999997,-40.46666666666666
8,7.733333333333345,-4.851666666666665,-37.26666666666665
9,7.800000000000009,-4.607499999999996,-31.866666666666664
10,7.800000000000009,-1.5058333333333305,-31.83333333333333
11,8.066666666666675,-4.324166666666662,-33.46666666666667
12,8.06666666666668,-5.6024999999999965,-32.233333333333334
13,8.06666666666668,-2.797499999999996,-30.2
14,8.200000000000017,-1.6558333333333288,-32.1
15,8.200000000000017,-4.89833333333333,-32.266666666666666
16,8.200000000000017,-4.836666666666661,-48.666666666666664
17,8.333333333333348,-1.8533333333333286,-24.96666666666667
18,8.833333333333348,-4.98166666666666,-37.366666666666646
19,8.833333333333348,-0.31249999999999484,-24.8
20,8.833333333333348,-3.1166666666666614,-32.4
21,8.833333333333348,-2.927499999999995,-26.66666666666666
22,8.833333333333348,1.150000000000007,-28.0
23,9.400000000000007,-6.024999999999997,-36.53333333333333
24,9.400000000000007,-3.8899999999999935,-37.0
