generation,best,mean,worst
0,5.433333333333334,-11.9475,-45.599999999999994
1,5.833333333333335,-11.532499999999999,-46.1
2,5.433333333333334,-12.279166666666665,-52.23333333333333
3,5.433333333333334,-9.230833333333333,-31.900000000000002
4,1.8333333333333337,-10.379999999999999,-47.06666666666666
5,5.466666666666666,-8.690833333333334,-45.9
6,1.4333333333333333,-7.780833333333331,-32.4
7,5.466666666666668,-7.9425,-30.900000000000002
8,5.433333333333334,-8.62,-45.800000000000004
9,5.566666666666667,-7.556666666666667,-39.03333333333333
10,5.533333333333334,-9.844166666666666,-44.433333333333316
11,5.566666666666666,-6.079166666666666,-51.86666666666667
12,5.900000000000001,-6.261666666666666,-44.93333333333334
13,5.766666666666667,-6.876666666666667,-32.9
14,5.433333333333334,-5.270833333333333,-44.59999999999999
15,5.733333333333335,-2.5391666666666657,-34.3
16,5.8999999999999995,-4.223333333333334,-32.36666666666667
17,5.9333333333333345,-2.8283333333333336,-36.3
18,5.433333333333334,-6.711666666666666,-39.333333333333336
19,5.566666666666666,-2.4324999999999997,-32.56666666666666
20,5.433333333333334,-2.4349999999999996,-38.133333333333326
21,5.433333333333334,-1.6425,-43.6
22,5.433333333333334,-0.7124999999999999,-32.46666666666667
23,5.900000000000001,-2.5716666666666663,-38.53333333333333
24,5.566666666666666,-3.5449999999999995,-40.199999999999996
