generation,best,mean
0,-18.866666666666664,-24.675
1,-18.03333333333333,-21.232499999999998
2,-17.4,-21.839166666666664
3,-17.4,-23.291666666666664
4,-4.4666666666666694,-22.356666666666666
5,-1.6000000000000014,-18.139999999999997
6,16.000000000000004,-14.985833333333336
7,16.000000000000004,-13.984166666666667
8,16.000000000000004,-10.256666666666664
9,55.100000000000044,-8.381666666666664
10,55.100000000000044,-3.726666666666664
11,58.966666666666704,3.455000000000008
12,58.966666666666704,12.94750000000001
13,60.50000000000005,17.462500000000013
14,79.5333333333333,18.125833333333347
15,79.5333333333333,19.656666666666677
16,79.5333333333333,18.355833333333344
17,79.5333333333333,15.295833333333343
18,79.5333333333333,27.407500000000017
19,79.5333333333333,19.54916666666667
20,79.5333333333333,11.86833333333334
21,79.5333333333333,19.179166666666674
22,79.5333333333333,19.056666666666676
23,79.89999999999996,12.590000000000003
24,79.89999999999996,20.771666666666675
