generation,best,mean
0,-18.224999999999998,-27.358124999999994
1,-6.974999999999999,-20.706875
2,-2.274999999999998,-22.590625
3,-1.899999999999996,-23.951875
4,-1.899999999999996,-23.503749999999997
5,-1.899999999999996,-24.520625
6,-1.899999999999996,-22.046875
7,-1.899999999999996,-22.619999999999997
8,-1.899999999999996,-21.698749999999997
9,-1.899999999999996,-21.319375
10,-1.899999999999996,-23.829374999999995
11,-1.899999999999996,-22.368125
12,-1.899999999999996,-21.364375000000003
13,-1.899999999999996,-23.171875
14,-1.899999999999996,-23.15375
15,-1.899999999999996,-22.071875
16,-1.899999999999996,-22.6
17,-1.899999999999996,-21.149375
18,-1.899999999999996,-23.055
19,-1.899999999999996,-22.035
20,-1.899999999999996,-21.204375
21,-1.899999999999996,-23.05125
22,-1.899999999999996,-21.106875
23,-1.899999999999996,-21.6375
24,-1.899999999999996,-25.014374999999994
