generation,best,mean
0,-14.675,-25.219375000000003
1,-12.975000000000001,-21.805625000000003
2,-8.899999999999995,-21.2175
3,-8.899999999999995,-22.03375
4,-8.899999999999995,-20.692500000000003
5,-8.899999999999995,-20.170625
6,-8.899999999999995,-21.258125
7,-8.899999999999995,-20.802500000000002
8,-8.899999999999995,-20.55875
9,-8.899999999999995,-18.733125
10,-8.899999999999995,-20.846875
11,-8.899999999999995,-19.971875
12,-8.899999999999995,-21.603125
13,-8.899999999999995,-21.529999999999998
14,-8.899999999999995,-21.164375
15,-8.899999999999995,-20.564375
16,-6.525,-19.796875
17,-6.525,-19.326249999999998
18,-6.525,-21.154374999999998
19,-1.6250000000000004,-20.305625
20,-1.6250000000000004,-19.384999999999998
21,-1.6250000000000004,-19.430625
22,-1.6250000000000004,-19.739375000000003
23,-1.6250000000000004,-19.191875
24,-1.6250000000000004,-22.535625
