generation,best,mean,worst
0,1.3000000000000003,-28.6775,-36.0
1,10.766666666666667,-14.2075,-36.13333333333333
2,10.766666666666667,-6.1725,-35.6
3,10.766666666666667,-4.214166666666666,-36.0
4,10.766666666666667,-2.1224999999999996,-36.0
5,10.766666666666667,-3.880833333333333,-34.699999999999996
6,10.766666666666667,-2.8416666666666672,-35.6
7,11.333333333333334,-2.3866666666666667,-35.96666666666667
8,11.333333333333334,-1.1925000000000001,-35.56666666666667
9,11.333333333333334,-5.253333333333333,-35.46666666666667
10,11.333333333333334,-9.503333333333334,-35.699999999999996
11,11.333333333333334,-2.4708333333333337,-35.96666666666667
12,11.333333333333334,-0.48500000000000015,-35.6
13,11.333333333333334,-1.2933333333333334,-28.400000000000002
14,11.333333333333334,-1.1341666666666668,-35.96666666666667
15,11.333333333333334,-5.9833333333333325,-35.53333333333333
16,11.333333333333334,-1.5716666666666668,-30.900000000000002
17,11.333333333333334,-5.7,-35.53333333333333
18,12.0,-1.4124999999999999,-28.8
19,12.0,-7.218333333333334,-35.699999999999996
20,12.0,-3.1133333333333337,-34.666666666666664
21,12.0,-4.226666666666667,-35.53333333333333
22,12.0,-0.9391666666666666,-32.333333333333336
23,12.0,-5.074166666666668,-34.86666666666667
24,12.0,-3.453333333333333,-36.0
