generation,best,mean,worst
0,22.56666666666668,-5.857499999999997,-35.43333333333333
1,22.56666666666668,-5.229999999999995,-35.36666666666667
2,24.66666666666669,-1.0324999999999913,-33.5
3,29.80000000000005,-2.518333333333326,-34.36666666666667
4,29.80000000000005,-1.153333333333323,-34.233333333333334
5,29.80000000000005,-1.8316666666666588,-31.000000000000004
6,44.83333333333335,0.7083333333333413,-35.36666666666667
7,44.83333333333335,-1.4658333333333236,-35.4
8,44.83333333333335,4.395833333333343,-34.13333333333333
9,50.96666666666672,4.242500000000014,-35.03333333333333
10,50.96666666666672,0.890833333333344,-35.96666666666667
11,50.96666666666672,3.7941666666666762,-36.699999999999996
12,50.96666666666672,4.948333333333346,-31.3
13,50.96666666666672,2.746666666666678,-35.800000000000004
14,50.96666666666672,8.783333333333346,-29.46666666666667
15,50.96666666666672,3.7366666666666797,-34.0
16,50.96666666666672,5.308333333333348,-35.53333333333333
17,50.96666666666672,3.757500000000012,-35.0
18,50.96666666666672,2.7825000000000113,-34.23333333333333
19,50.96666666666672,3.6633333333333447,-34.9
20,50.96666666666672,8.74666666666668,-35.233333333333334
21,50.96666666666672,6.1775000000000135,-29.433333333333337
22,50.96666666666672,6.42916666666668,-32.300000000000004
23,50.96666666666672,2.604166666666677,-34.76666666666667
24,50.96666666666672,5.969166666666678,-33.766666666666666
