generation,best,mean,worst
0,3.6666666666666665,-20.569166666666668,-34.766666666666666
1,8.033333333333333,-10.4575,-32.86666666666667
2,8.033333333333333,-4.85,-26.96666666666667
3,12.1,-3.4575000000000005,-24.633333333333336
4,12.1,-6.4191666666666665,-30.03333333333333
5,22.5,-3.300833333333334,-32.46666666666667
6,22.5,-3.7475,-32.5
7,22.5,-0.7791666666666671,-20.900000000000002
8,22.5,-0.9066666666666668,-33.63333333333333
9,22.5,-0.6174999999999999,-35.5
10,22.5,-1.5291666666666668,-33.13333333333333
11,22.5,-3.2708333333333344,-30.833333333333332
12,22.5,-2.901666666666667,-29.46666666666667
13,22.5,0.056666666666665574,-30.333333333333332
14,22.5,-6.368333333333334,-33.93333333333333
15,22.5,-4.059166666666667,-33.13333333333333
16,23.566666666666677,-0.8691666666666666,-34.63333333333333
17,23.566666666666677,-0.6299999999999993,-33.733333333333334
18,23.566666666666677,-4.09,-33.266666666666666
19,24.733333333333345,-2.2266666666666666,-30.733333333333334
20,24.733333333333345,-3.0841666666666665,-34.93333333333333
21,24.733333333333345,-5.364999999999999,-34.36666666666667
22,24.733333333333345,-2.523333333333332,-28.133333333333336
23,24.733333333333345,2.075000000000001,-29.96666666666667
24,24.733333333333345,-2.2566666666666655,-34.699999999999996
