generation,best,mean,worst
0,43.233333333333384,28.863333333333365,14.633333333333342
1,43.766666666666715,32.731666666666705,20.300000000000004
2,49.76666666666673,33.0266666666667,16.700000000000017
3,49.76666666666673,33.0391666666667,18.03333333333335
4,49.76666666666673,33.724166666666704,21.20000000000002
5,51.83333333333339,32.849166666666704,11.800000000000011
6,51.83333333333339,33.70750000000004,20.13333333333336
7,51.83333333333339,33.106666666666705,21.533333333333356
8,51.83333333333339,34.43750000000004,16.100000000000005
9,51.83333333333339,34.88083333333337,24.966666666666683
10,51.83333333333339,33.981666666666705,21.26666666666669
11,51.83333333333339,36.20083333333337,22.53333333333336
12,51.83333333333339,35.44333333333337,16.233333333333352
13,51.83333333333339,34.85833333333338,19.133333333333358
14,51.83333333333339,35.563333333333375,22.200000000000017
15,51.83333333333339,33.805833333333375,21.033333333333353
16,51.83333333333339,35.908333333333374,18.333333333333346
17,51.83333333333339,35.31083333333338,21.633333333333358
18,51.83333333333339,34.21500000000004,16.700000000000006
19,51.83333333333339,34.93333333333337,15.333333333333355
20,51.83333333333339,34.618333333333375,16.000000000000018
21,51.83333333333339,38.23000000000005,17.900000000000027
22,51.83333333333339,36.70583333333337,20.73333333333336
23,51.83333333333339,36.158333333333374,22.633333333333365
24,51.83333333333339,36.963333333333374,23.100000000000023
