generation,best,mean,worst
0,6.533333333333327,-14.715833333333336,-35.73333333333333
1,6.533333333333327,-11.372499999999999,-36.13333333333333
2,6.533333333333327,-9.810833333333335,-32.96666666666667
3,22.433333333333337,-6.810000000000002,-35.76666666666667
4,22.433333333333337,-10.850833333333334,-35.23333333333333
5,22.433333333333337,-9.432500000000001,-34.333333333333336
6,22.433333333333337,-9.905833333333334,-36.5
7,22.433333333333337,-8.888333333333334,-35.300000000000004
8,22.433333333333337,-6.711666666666666,-35.4
9,22.433333333333337,-10.215833333333332,-36.300000000000004
10,22.433333333333337,-7.653333333333334,-35.6
11,22.433333333333337,-10.226666666666665,-35.733333333333334
12,22.433333333333337,-11.455,-36.06666666666666
13,22.433333333333337,-5.884166666666667,-33.300000000000004
14,22.433333333333337,-8.968333333333334,-36.13333333333333
15,22.433333333333337,-7.019166666666666,-36.36666666666667
16,22.433333333333337,-7.007500000000002,-35.9
17,22.433333333333337,-6.5408333333333335,-35.699999999999996
18,22.433333333333337,-6.162499999999999,-35.73333333333333
19,22.433333333333337,-8.336666666666668,-35.13333333333333
20,22.433333333333337,-7.453333333333333,-35.833333333333336
21,22.433333333333337,-5.522499999999998,-35.93333333333333
22,22.433333333333337,-9.94,-35.63333333333333
23,22.433333333333337,-9.4475,-36.5
24,23.100000000000026,-5.695833333333331,-35.766666666666666
