generation,best,mean
0,-19.133333333333336,-29.484166666666663
1,-19.066666666666666,-24.45
2,-18.733333333333334,-22.960833333333333
3,-18.333333333333332,-22.238333333333333
4,-18.333333333333332,-24.925833333333333
5,-7.699999999999999,-18.988333333333333
6,-7.133333333333336,-18.458333333333332
7,-6.600000000000001,-15.905000000000001
8,5.433333333333333,-16.1025
9,14.233333333333333,-11.840000000000002
10,14.233333333333333,-11.075
11,30.233333333333345,-5.2316666666666665
12,30.233333333333345,-3.176666666666665
13,37.000000000000014,-2.843333333333332
14,37.100000000000016,0.44916666666666993
15,37.100000000000016,9.207500000000007
16,41.60000000000003,5.210000000000006
17,41.60000000000003,-0.5124999999999957
18,47.33333333333334,3.6050000000000075
19,47.33333333333334,-2.0724999999999936
20,53.133333333333354,3.316666666666675
21,53.133333333333354,2.7475000000000076
22,53.133333333333354,-0.9858333333333267
23,53.966666666666676,4.636666666666677
24,53.966666666666676,5.869166666666677
